name,club,position,price_current,availibility_status,availibility_last_changed,availibility_percentage,price_last_changed,price_change_amount
Leno,ARS,GKP,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0600,0
Rúnarsson,ARS,GKP,4,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+0601,0
Willian,ARS,MID,6.3,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+0602,-0.2
Aubameyang,ARS,FWD,9.6,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0603,0.1
Cédric,ARS,DEF,4.2,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0604,0.2
Lacazette,ARS,FWD,8.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0605,-0.1
Xhaka,ARS,MID,4.8,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0606,-0.2
Marí,ARS,DEF,4.2,Doubtful,Jan 04 2022 21:08:53 GMT+0600,75,Jan 04 2022 21:08:53 GMT+0607,0.2
Bellerín,ARS,DEF,4.8,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+0608,-0.2
Chambers,ARS,DEF,4.2,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+0609,0.2
Kolasinac,ARS,DEF,4.3,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+0610,-0.2
Elneny,ARS,MID,4.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0611,-0.1
Maitland-Niles,ARS,MID,5.2,Doubtful,Jan 04 2022 21:08:53 GMT+0600,75,Jan 04 2022 21:08:53 GMT+0612,0.2
Holding,ARS,DEF,4.1,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0613,0.1
Partey,ARS,MID,5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0614,0
Tierney,ARS,DEF,4.8,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0615,-0.2
Pépé,ARS,MID,6.9,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0616,-0.1
Torreira,ARS,MID,4.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+0617,0
Nketiah,ARS,FWD,5.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0618,-0.1
Smith Rowe,ARS,MID,6.1,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0619,0.1
Saka,ARS,MID,6.3,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0620,-0.2
Gabriel,ARS,DEF,5.3,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0621,-0.2
Mavropanos,ARS,DEF,4.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+0622,0
Guendouzi,ARS,MID,4.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+0623,0
Martinelli,ARS,MID,5.3,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0624,-0.2
Saliba,ARS,DEF,4.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+0625,0
White,ARS,DEF,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0626,0
Tavares,ARS,DEF,4.3,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0627,-0.2
Sambi Lokonga,ARS,MID,4.8,Doubtful,Jan 04 2022 21:08:53 GMT+0600,75,Jan 04 2022 21:08:53 GMT+0628,-0.2
Balogun,ARS,FWD,4.7,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0629,0.2
Nelson,ARS,MID,5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+0630,0
Hein,ARS,GKP,4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0631,0
Ødegaard,ARS,MID,5.6,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0632,0.1
Ramsdale,ARS,GKP,5.1,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0633,0.1
Okonkwo,ARS,GKP,4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0634,0
Tomiyasu,ARS,DEF,4.8,Doubtful,Jan 04 2022 21:08:53 GMT+0600,75,Jan 04 2022 21:08:53 GMT+0635,-0.2
Steer,AVL,GKP,4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0636,0
Hourihane,AVL,MID,4.9,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+0637,-0.1
Martínez,AVL,GKP,5.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0638,0
Engels,AVL,DEF,4.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+0639,0
Traoré,AVL,MID,5.7,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+0640,0.2
Sanson,AVL,MID,5,Doubtful,Jan 04 2022 21:08:53 GMT+0600,75,Jan 04 2022 21:08:53 GMT+0641,0
McGinn,AVL,MID,5.9,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0642,-0.1
Hause,AVL,DEF,4.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0643,-0.1
Trézéguet,AVL,MID,5.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0644,-0.1
Mings,AVL,DEF,5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0645,0
Targett,AVL,DEF,4.7,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0646,0.2
Watkins,AVL,FWD,7.9,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0647,-0.1
Nakamba,AVL,MID,4.5,Injured,Jan 04 2022 21:08:53 GMT+0600,50,Jan 04 2022 21:08:53 GMT+0648,0
El Ghazi,AVL,MID,5.6,Doubtful,Jan 04 2022 21:08:53 GMT+0600,75,Jan 04 2022 21:08:53 GMT+0649,0.1
Buendía,AVL,MID,6.2,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0650,0.2
Cash,AVL,DEF,5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0651,0
Konsa,AVL,DEF,4.9,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0652,-0.1
Guilbert,AVL,DEF,4.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+0653,0
Wesley,AVL,FWD,5.4,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+0654,-0.1
Samatta,AVL,FWD,5.5,NotAvail,Jan 04 2022 21:08:53 GMT+0600,0,Jan 04 2022 21:08:53 GMT+0655,0
Davis,AVL,FWD,4.5,Doubtful,Jan 04 2022 21:08:53 GMT+0600,75,Jan 04 2022 21:08:53 GMT+0656,0
Douglas Luiz,AVL,MID,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0657,0
Ramsey,AVL,MID,4.5,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0658,0
Young,AVL,DEF,4.7,Doubtful,Jan 04 2022 21:08:53 GMT+0600,75,Jan 04 2022 21:08:53 GMT+0659,0.2
Tuanzebe,AVL,DEF,4.4,Available,Jan 04 2022 21:08:53 GMT+0600,100,Jan 04 2022 21:08:53 GMT+0660,-0.1
